State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Sex Ratio,Literacy Rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,856350,626997,2399901,275970,15422,1377,25510,617,566108,5512,597466,220248,817714,232470,344167,281752,225957,143143,100226,378259,191052,1001.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,1338474,972486,3599372,443456,20463,932,341,1417,897970,8606,902997,341431,1244428,462273,720357,582075,331793,162175,144915,755971,353948,977.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1484794,1183084,3737588,397870,24129,867,253,1322,944555,13763,907970,395900,1303870,522961,770836,673197,548336,265199,246409,754648,382377,997.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,1716933,1571644,4983330,77777,77825,738,413,4149,1297273,22411,1199479,406362,1605841,669420,947606,797497,521562,271809,263023,869464,800168,1006.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,1634726,1325715,4217597,559770,89763,764,323,3282,1186028,19383,1069877,513113,1582990,736270,845810,674957,453446,246580,221924,904201,762845,1003.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1542688,1349467,2046051,1713405,87522,11446,1268,19560,869721,149034,0,1066289,1066289,230962,596591,685215,811501,517425,558090,873099,868186,954.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1257238,949591,3491139,244723,24979,2086,332,312,926768,8831,877236,288044,1165280,340372,453505,482842,463403,293493,256633,675283,452865,1008.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,901640,728594,2595321,158887,33463,655,217,459,668519,8628,669262,201363,870625,295639,346118,329630,238811,154774,160804,403739,360531,1011.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,1598959,1410759,4023678,307043,145598,1393,863,6320,1163932,30438,909292,567042,1476334,618101,692968,630603,531821,312753,328454,897201,863417,992.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,1246369,880792,3328380,670737,33165,737,255,2235,816721,10081,783853,306982,1090835,521327,672951,466940,271828,152453,115504,702120,353289,988.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,1158386,782260,3673456,334172,21345,658,290,388,757821,6153,848963,161052,1010015,419379,596134,441585,308575,169083,98227,508140,231015,977.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,953406,683731,2637313,342449,34301,1309,554,457,604719,8635,593653,195479,789132,324267,503713,481984,373729,201928,127493,421856,293838,992.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,1160757,840262,3249231,188646,35025,937,241,250,789225,7715,833504,197433,1030937,369537,518669,471233,367424,238695,196134,479824,355700,983.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,790214,599596,2123426,391596,19653,2357,1847,542,545913,5261,565165,155133,720298,269487,421399,338668,396396,223365,141850,428790,245523,1040.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,1107686,796749,3150195,220654,18775,266,97,204,763746,6151,873486,214089,1087575,489805,495556,368919,249034,142026,133627,528518,321332,981.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,857824,637557,2666950,9025,18879,193,77,160,615432,3988,752752,149684,902436,291793,348354,319244,251521,146721,121213,178089,146386,1015.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,707503,530885,2299129,16423,17853,380,114,815,527736,4453,592458,157056,749514,250446,300057,257468,186576,115144,103591,242486,131289,1019.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,1179790,885233,3273755,197333,31377,1453,253,569,828077,12952,758738,288249,1046987,314252,457529,454322,430242,279234,248942,504897,388583,997.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,1379223,1273166,3733191,86142,109120,288,209,1578,1017568,12050,1007255,248373,1255628,595331,718960,585595,415178,215863,207586,720167,694857,1004.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,44027,29147,47683,2134,35969,94,50381,95,14593,170,33422,6498,39920,20425,22537,17354,10032,5641,3633,9721,19606,926.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,21599,16850,12333,652,37136,36,452,23,5318,57,14503,5215,19718,11713,10487,8852,6213,4510,2330,4477,4703,1029.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,62576,34210,28366,27854,2289,18254,69,776,30,14231,450,19497,9524,29021,9938,13713,13968,10937,9498,6540,8399,11735,980.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,20258,16348,4859,471,51189,43,121,81,3911,95,18603,1092,19695,12661,15054,12264,6997,4353,2031,2173,4066,1032.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,48380,34682,99020,3846,10684,210,24452,104,17157,312,33599,11372,44971,19306,25179,20643,13070,7612,5180,11806,17327,912.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,18087,13762,28915,2247,9213,33,2932,19,5932,207,12000,3950,15950,5875,7957,7351,5508,3570,2795,4945,6143,928.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,29470,24587,9551,1482,34402,27,193,13,12493,381,18112,5365,23477,8492,10821,11661,9861,7674,5230,8804,11232,984.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,65794,55254,57027,6148,84397,310,4768,139,30539,2477,20308,30180,50488,15368,21956,21376,20007,17342,13840,23052,25706,980.0,69.0
